ParkName,Year,RecreationVisits,VisitorSpending,JobsSupported,LaborIncome,ValueAdded,EconomicOutput
Channel Islands NP,2024,262581.0,17742000.0,161.0,9228000.0,15833000.0,24863000.0
Charles Pinckney NHS,2024,30903.0,2175000.0,22.0,886000.0,1708000.0,2830000.0
Charles Young Buffalo Soldiers NM,2024,4716.0,332000.0,4.0,143000.0,249000.0,428000.0
Chattahoochee River NRA,2024,2940804.0,155445000.0,1564.0,73014000.0,132356000.0,216838000.0
Chesapeake & Ohio Canal NHP,2024,4421276.0,100496000.0,976.0,50717000.0,92200000.0,143912000.0
Chickamauga & Chattanooga NMP,2024,1003081.0,70550000.0,746.0,26705000.0,49410000.0,87209000.0
Chickasaw NRA,2024,1670498.0,31681000.0,218.0,7914000.0,14343000.0,25339000.0
Chiricahua NM,2024,71390.0,5122000.0,50.0,1712000.0,3184000.0,5655000.0
Christiansted NHS,2024,124539.0,8763000.0,72.0,3841000.0,7430000.0,11215000.0
City of Rocks NRES,2024,89949.0,6329000.0,62.0,2307000.0,4270000.0,7371000.0
Clara Barton NHS,2024,13334.0,938000.0,9.0,467000.0,845000.0,1310000.0
Colonial NHP,2024,2551228.0,317919000.0,3324.0,118034000.0,224681000.0,388572000.0
Colorado NM,2024,488038.0,37123000.0,348.0,13834000.0,26563000.0,45005000.0
Congaree NP,2024,242049.0,14609000.0,134.0,5229000.0,10373000.0,17586000.0
Coronado NMEM,2024,164426.0,11570000.0,118.0,4883000.0,8813000.0,14892000.0
Cowpens NB,2024,156287.0,12118000.0,130.0,5630000.0,10153000.0,17160000.0
Crater Lake NP,2024,504942.0,53516000.0,564.0,25152000.0,43405000.0,74295000.0
Craters of the Moon NM & PRES,2024,314118.0,13093000.0,124.0,4911000.0,8742000.0,15441000.0
Cumberland Gap NHP,2024,729249.0,23973000.0,201.0,6683000.0,13410000.0,24310000.0
Cumberland Island NS,2024,64706.0,3298000.0,32.0,1361000.0,2483000.0,4156000.0
