"park_name","park_type","state","region","unit_code","entrance_fee","fee_type","per_person_fee","fee_tier","total_visits_8yr","avg_annual_visits","visits_2024","traffic_tier","total_visitor_spending_8yr","avg_visitor_spending_8yr","total_economic_output_8yr","avg_economic_output_8yr","avg_jobs_supported_8yr","avg_labor_income_8yr","spending_per_visit","pricing_diagnosis","is_2026_surcharge_park","is_fee_eligible","exclusion_reason","cluster_tier","projected_fee_revenue_5_usd"
"Medgar and Myrlie Evers Home NM","National Monument","MS","Southeast","MEMY",NULL,NULL,NULL,"Free","143361","17920","71554","Low (<100K/yr)","9831000","2457750","13683000","3420750","32","1048250","67.27","Aligned",0,1,NULL,NULL,"0"
"Agate Fossil Beds NM","National Monument","NE","Midwest","AGFO",NULL,NULL,NULL,"Free","143233","17904","19395","Low (<100K/yr)","11326000","1415750","11978400","1497300","19","432513","79.53","Aligned",0,1,NULL,NULL,"0"
"Brown v. Board of Education NHP","National Historical Park","KS","Midwest","BRVB",NULL,NULL,NULL,"Free","140186","17523","21919","Low (<100K/yr)","8805000","1100625","13476100","1684513","17","566738","63.03","Aligned",0,1,NULL,NULL,"0"
"Theodore Roosevelt Birthplace NHS","National Historic Site","NY","Northeast","THRB",NULL,NULL,NULL,"Free","133647","16706","25086","Low (<100K/yr)","8368700","1046088","11832300","1479038","11","591513","63.09","Aligned",0,1,NULL,NULL,"0"
"Tuskegee Institute NHS","National Historic Site","AL","Southeast","TUIN",NULL,NULL,NULL,"Free","132689","16586","10037","Low (<100K/yr)","8099700","1012463","10027700","1253463","15","380425","63.04","Aligned",0,1,NULL,NULL,"0"
"Noatak NPRES","National Preserve","AK","Alaska","NOAT",NULL,NULL,NULL,"Free","131839","16480","18311","Low (<100K/yr)","215577600","26947200","314125000","39265625","339","13512475","1627.72","Aligned",0,1,NULL,NULL,"0"
"Lake Clark NP & PRES","National Park","AK","Alaska","LACL",NULL,NULL,NULL,"Free","131037","16380","18505","Low (<100K/yr)","214584200","26823025","313339300","39167413","339","13491038","1627.75","Aligned",0,1,NULL,NULL,"0"
"Russell Cave NM","National Monument","AL","Southeast","RUCA",NULL,NULL,NULL,"Free","128421","16053","9261","Low (<100K/yr)","7980700","997588","10077600","1259700","14","408988","63.02","Aligned",0,1,NULL,NULL,"0"
"Springfield Armory NHS","National Historic Site","MA","Northeast","SPAR",NULL,NULL,NULL,"Free","126903","15863","15925","Low (<100K/yr)","7945600","993200","11028300","1378538","12","529675","63.04","Aligned",0,1,NULL,NULL,"0"
"Martin Van Buren NHS","National Historic Site","NY","Northeast","MAVA",NULL,NULL,NULL,"Free","124443","15555","17712","Low (<100K/yr)","6934100","866763","9017400","1127175","11","412375","55.64","Aligned",0,1,NULL,NULL,"0"
"Cape Krusenstern NM","National Monument","AK","Alaska","CAKR",NULL,NULL,NULL,"Free","122803","15350","17736","Low (<100K/yr)","201129600","25141200","293082300","36635288","316","12616788","1627.72","Aligned",0,1,NULL,NULL,"0"
"Kobuk Valley NP","National Park","AK","Alaska","KOVA",NULL,NULL,NULL,"Free","120702","15088","17233","Low (<100K/yr)","197555900","24694488","287859400","35982425","310","12383613","1627.68","Aligned",0,1,NULL,NULL,"0"
"Minidoka NHS","National Historic Site","ID","Pacific West","MIIN",NULL,NULL,NULL,"Free","112723","14090","22025","Low (<100K/yr)","4718400","589800","5274800","659350","7","205813","40.03","Aligned",0,1,NULL,NULL,"0"
"Camp Nelson NM","National Monument","KY","Southeast","CANE",NULL,NULL,NULL,"Free","110425","13803","34716","Low (<100K/yr)","7417000","1854250","10105000","2526250","26","838500","67.12","Aligned",0,1,NULL,NULL,"0"
"Cesar E. Chavez NM","National Monument","CA","Pacific West","CECH",NULL,NULL,NULL,"Free","109796","13725","26641","Low (<100K/yr)","6998600","874825","9874600","1234325","10","474725","62.99","Aligned",0,1,NULL,NULL,"0"
"John F. Kennedy NHS","National Historic Site","MA","Northeast","JOFI",NULL,NULL,NULL,"Free","106227","13278","18180","Low (<100K/yr)","6498100","812263","9360200","1170025","10","452350","63.27","Aligned",0,1,NULL,NULL,"0"
"Saint Paul's Church NHS","National Historic Site","NY","Northeast","SAPA",NULL,NULL,NULL,"Free","104887","13111","12135","Low (<100K/yr)","6488600","811075","9067400","1133425","9","456700","63.02","Aligned",0,1,NULL,NULL,"0"
"Eugene O'Neill NHS","National Historic Site","CA","Pacific West","EUON",NULL,NULL,NULL,"Free","99388","12424","17653","Low (<100K/yr)","6466800","808350","8968900","1121113","8","466938","63.02","Aligned",0,1,NULL,NULL,"0"
"Washita Battlefield NHS","National Historic Site","OK","Intermountain","WABA",NULL,NULL,NULL,"Free","99077","12385","12369","Low (<100K/yr)","6256500","782063","7046800","880850","11","247750","63.00","Aligned",0,1,NULL,NULL,"0"
"Fort Union Trading Post NHS","National Historic Site","ND","Midwest","FOUS",NULL,NULL,NULL,"Free","94343","11793","12028","Low (<100K/yr)","8188800","1023600","7869500","983688","11","359325","86.64","Aligned",0,1,NULL,NULL,"0"
"Saint Croix Island IHS","International Historic Site","ME","Northeast","SACR",NULL,NULL,NULL,"Free","90778","11347","13508","Low (<100K/yr)","5746700","718338","7251000","906375","9","298513","63.00","Aligned",0,1,NULL,NULL,"0"
"Edgar Allan Poe NHS","National Historic Site","PA","Northeast","EDAL",NULL,NULL,NULL,"Free","83467","10433","8131","Low (<100K/yr)","5198700","649838","7867800","983475","9","376063","62.72","Aligned",0,1,NULL,NULL,"0"
"Charles Young Buffalo Soldiers NM","National Monument","OH","Midwest","CHYO",NULL,NULL,NULL,"Free","80066","10008","4716","Low (<100K/yr)","4865200","608150","6479400","809925","9","275400","62.98","Aligned",0,1,NULL,NULL,"0"
"Knife River Indian Villages NHS","National Historic Site","ND","Midwest","KNRI",NULL,NULL,NULL,"Free","78384","9798","10867","Low (<100K/yr)","4936800","617100","6399800","799975","8","262613","63.02","Aligned",0,1,NULL,NULL,"0"
"Fort Union NM","National Monument","NM","Intermountain","FOUN",NULL,NULL,NULL,"Free","77895","9737","9217","Low (<100K/yr)","5670700","708838","6397100","799638","9","267438","72.96","Aligned",0,1,NULL,NULL,"0"
"First Ladies NHS","National Historic Site","OH","Midwest","FILA",NULL,NULL,NULL,"Free","75388","9424","12642","Low (<100K/yr)","4755100","594388","7080700","885088","8","310588","63.00","Aligned",0,1,NULL,NULL,"0"
"Frederick Law Olmsted NHS","National Historic Site","MA","Northeast","FRLA",NULL,NULL,NULL,"Free","75173","9397","13218","Low (<100K/yr)","4791000","598875","7058000","882250","8","344150","62.99","Aligned",0,1,NULL,NULL,"0"
"Gates of the Arctic NP & PRES","National Park","AK","Alaska","GAAR",NULL,NULL,NULL,"Free","73929","9241","11907","Low (<100K/yr)","121477400","15184675","177051400","22131425","190","7609500","1627.46","Aligned",0,1,NULL,NULL,"0"
"Salt River Bay NHP & EPRES","National Historical Park","VI","Southeast","SARI",NULL,NULL,NULL,"Free","73148","9144","13185","Low (<100K/yr)","4711200","588900","6073500","759188","6","271800","62.99","Aligned",0,1,NULL,NULL,"0"
"Reconstruction Era NHP","National Historical Park","SC","Southeast","REER",NULL,NULL,NULL,"Free","65432","8179","23378","Low (<100K/yr)","4444000","1481333","5214000","1738000","16","565000","67.79","Aligned",0,1,NULL,NULL,"0"
"Fort Bowie NHS","National Historic Site","AZ","Intermountain","FOBO",NULL,NULL,NULL,"Free","64934","8117","8483","Low (<100K/yr)","3487500","435938","4185200","523150","6","169525","53.73","Aligned",0,1,NULL,NULL,"0"
"Pullman NHP","National Historical Park","IL","Midwest","PULL",NULL,NULL,NULL,"Free","61179","7647","31961","Low (<100K/yr)","4206000","2103000","6217000","3108500","22","1191500","68.67","Aligned",0,1,NULL,NULL,"0"
"Alibates Flint Quarries NM","National Monument","TX","Intermountain","ALFL",NULL,NULL,NULL,"Free","58754","7344","8558","Low (<100K/yr)","3719100","464888","4681300","585163","6","188025","63.01","Aligned",0,1,NULL,NULL,"0"
"President W.J. Clinton Birthplace Home NHS","National Historic Site","AR","Southeast","WICL",NULL,NULL,NULL,"Free","58431","7304","6215","Low (<100K/yr)","3636800","454600","4443300","555413","7","165850","63.04","Aligned",0,1,NULL,NULL,"0"
"Maggie L. Walker NHS","National Historic Site","VA","Northeast","MAWA",NULL,NULL,NULL,"Free","53225","6653","6310","Low (<100K/yr)","3299000","412375","4539300","567413","6","186713","63.01","Aligned",0,1,NULL,NULL,"0"
"Thomas Stone NHS","National Historic Site","MD","Northeast","THST",NULL,NULL,NULL,"Free","47958","5995","4538","Low (<100K/yr)","2973100","371638","4162400","520300","5","198925","63.01","Aligned",0,1,NULL,NULL,"0"
"Sand Creek Massacre NHS","National Historic Site","CO","Intermountain","SAND",NULL,NULL,NULL,"Free","45686","5711","6401","Low (<100K/yr)","2881700","360213","3006300","375788","5","98163","63.02","Aligned",0,1,NULL,NULL,"0"
"Belmont-Paul Women's Equality NM","National Monument","DC","National Capital","BEPA",NULL,NULL,NULL,"Free","42160","5270","7704","Low (<100K/yr)","836700","104588","1203600","150450","1","55788","20.15","Aligned",0,1,NULL,NULL,"0"
"Nicodemus NHS","National Historic Site","KS","Midwest","NICO",NULL,NULL,NULL,"Free","34419","4302","7535","Low (<100K/yr)","2123900","265488","2124000","265500","3","78913","59.89","Aligned",0,1,NULL,NULL,"0"
"Ice Age NST","National Scenic Trail","WI","Midwest","IATR",NULL,NULL,NULL,"Free","29711","3714","29711","Low (<100K/yr)","2091000","2091000","2778000","2778000","22","934000","70.38","Aligned",0,1,NULL,NULL,"0"
"Harriet Tubman Underground Railroad NHP","National Historical Park","MD","Northeast","HATU",NULL,NULL,NULL,"Free","29392","3674","17946","Low (<100K/yr)","2030000","1015000","2410000","1205000","11","392500","68.69","Aligned",0,1,NULL,NULL,"0"
"Ste. Genevieve NHP","National Historical Park","MO","Midwest","STGE",NULL,NULL,NULL,"Free","23893","2987","23893","Low (<100K/yr)","1681000","1681000","1852000","1852000","18","536000","70.36","Aligned",0,1,NULL,NULL,"0"
"Clara Barton NHS","National Historic Site","MD","National Capital","CLBA",NULL,NULL,NULL,"Free","23205","2901","13334","Low (<100K/yr)","1562000","195250","2211000","276375","2","101250","63.78","Aligned",0,1,NULL,NULL,"0"
"Bering Land Bridge NPRES","National Preserve","AK","Alaska","BELA",NULL,NULL,NULL,"Free","21136","2642","2642","Low (<100K/yr)","34412700","4301588","50120500","6265063","54","2154225","1628.16","Aligned",0,1,NULL,NULL,"0"
"Mill Springs Battlefield NM","National Monument","KY","Southeast","MISP",NULL,NULL,NULL,"Free","17729","2216","8579","Low (<100K/yr)","1216000","608000","1448000","724000","8","220000","68.64","Aligned",0,1,NULL,NULL,"0"
"Mary McLeod Bethune Council House NHS","National Historic Site","DC","National Capital","MAMC",NULL,NULL,NULL,"Free","13622","1703","3338","Low (<100K/yr)","658100","82263","969300","121163","1","47338","35.60","Aligned",0,1,NULL,NULL,"0"
"Thaddeus Kosciuszko NMEM","National Memorial","PA","Northeast","THKO",NULL,NULL,NULL,"Free","12525","1566","2336","Low (<100K/yr)","791100","98888","1197200","149650","1","57000","63.13","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Yukon-Charley Rivers NPRES","National Preserve","AK","Alaska","YUCH",NULL,NULL,NULL,"Free","8088","1011","1700","Low (<100K/yr)","18406500","2300813","26911800","3363975","24","1129775","1942.95","Aligned",0,1,NULL,NULL,"0"
"Carter G. Woodson Home NHS","National Historic Site","DC","National Capital","CAWO",NULL,NULL,NULL,"Free","6797","850","30","Low (<100K/yr)","129900","16238","185500","23188","0","8675","22.04","Aligned",0,1,NULL,NULL,"0"
"Tule Lake NM","National Monument","CA","Pacific West","TULE",NULL,NULL,NULL,"Free","6541","818","3810","Low (<100K/yr)","451000","225500","515000","257500","3","87500","68.67","Aligned",0,1,NULL,NULL,"0"
"Port Chicago Naval Magazine NMEM","National Memorial","CA","Pacific West","POCH",NULL,NULL,NULL,"Free","6030","754","930","Low (<100K/yr)","382100","47763","532300","66538","1","27313","62.67","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Amache NHS","National Historic Site","CO","Intermountain","AMCH",NULL,NULL,NULL,"Free","4771","596","4771","Low (<100K/yr)","336000","336000","379000","379000","4","111000","70.43","Aligned",0,1,NULL,NULL,"0"
"Emmett Till and Mamie Till-Mobley NM","National Monument","MS","Southeast","TILL",NULL,NULL,NULL,"Free","3513","439","3513","Low (<100K/yr)","248000","248000","318000","318000","2","108000","70.59","Aligned",0,1,NULL,NULL,"0"
"Rio Grande W&SR","National Wild & Scenic River","TX","Intermountain","RIGR","30","per-vehicle","12","Mid ($10-19)","2189","274","172","Low (<100K/yr)","1788500","223563","2226800","278350","4","80275","812.36","Aligned",0,1,NULL,NULL,"0"
"Aniakchak NM & PRES","National Monument","AK","Alaska","ANIA",NULL,NULL,NULL,"Free","1050","131","191","Low (<100K/yr)","1612200","201525","2387200","298400","3","102663","1442.43","Aligned",0,1,NULL,NULL,"0"
"Alagnak WR","National Wild & Scenic River","AK","Alaska","ALAG",NULL,NULL,NULL,"Free","955","119","278","Low (<100K/yr)","46000","11500","52000","13000","0","4750","47.62","Aligned",0,1,NULL,NULL,"0"
